startup_name,tagline,detail_url,siren,category,match_status,match_found,survival,etat_administratif,date_creation,date_cessation,patents_total,has_patent,person_block
Force-A,Diagnostic tool for agriculture,https://www.frenchcleantech.com/company/categories/agriculture/profile/force-a-diagnostic-tool-for-agriculture.html,807838792,Agriculture (12),OK,1,,,,,0,0,
Global Bioenergies,Isobutene bioproduction,https://www.frenchcleantech.com/company/categories/agriculture/profile/global-bioenergies-isobutene-bioproduction.html,508596012,Agriculture (12),OK,1,1,ACTIVE,2008-10-17,,9,1,personneMorale
Air Serenity,Indoor air purifier,https://www.frenchcleantech.com/company/categories/air-environment/profile/air-serenity-indoor-air-purifier.html,752935791,Air & Environment (29),OK,1,1,ACTIVE,2012-07-24,,0,0,personneMorale
Aria Technologies,European Leader in Atmospheric Environment,https://www.frenchcleantech.com/company/categories/air-environment/profile/aria-technologies-.html,379180474,Air & Environment (29),OK,1,1,ACTIVE,1992-04-10,,2,1,personneMorale
CTI,Ceramic membranes for liquid filtration,https://www.frenchcleantech.com/company/categories/air-environment/profile/cti-ceramic-membranes.html,504069121,Air & Environment (29),OK,1,1,ACTIVE,2008-05-05,,0,0,personneMorale
Hikob,Wireless sensor networks to power smart cities,https://www.frenchcleantech.com/company/categories/air-environment/profile/hikob-wireless-sensor-networks-for-a-smarter-road-network.html,841442254,Air & Environment (29),OK,1,1,ACTIVE,2018-07-31,,0,0,personneMorale
RayCreatis,3D energy simulation business solutions,https://www.frenchcleantech.com/company/categories/air-environment/profile/raycreatis-3d-energy-simulation-business-solutions.html,509696639,Air & Environment (29),OK,1,0,CESSATION,2009-01-02,2014-09-30,0,0,personneMorale
Metnext,Weather risk management,https://www.frenchcleantech.com/company/categories/air-environment/profile/metnext-weather-risk-management.html,807837174,Air & Environment (29),OK,1,0,CESSATION,2014-11-18,2021-03-04,0,0,personneMorale
Apilab,Biomonitoring through bees,https://www.frenchcleantech.com/company/categories/air-environment/profile/apilab-biomonitoring-through-bees.html,924068273,Air & Environment (29),OK,1,1,ACTIVE,2023-10-16,,0,0,personneMorale
Apix Technology,Multi-gas emissions analyzers,https://www.frenchcleantech.com/company/categories/air-environment/profile/apix-technology-multi-gas-emissions-analyzers.html,538315755,Air & Environment (29),OK,1,1,ACTIVE,2011-12-05,,1,1,personneMorale
NOVAD,"Treatment and decontamination of soils, water and air",https://www.frenchcleantech.com/company/categories/air-environment/profile/novad-treatment-and-decontamination-of-soils-water-and-air.html,938405891,Air & Environment (29),OK,1,1,ACTIVE,2024-12-11,,0,0,personneMorale
COOLEA,Fresh the air and save Energy,https://www.frenchcleantech.com/company/categories/air-environment/profile/coolea-fresh-the-air-and-save-energy.html,495175390,Air & Environment (29),OK,1,0,CESSATION,2007-04-01,2014-04-01,0,0,personneMorale
CLEANEA,When water becomes detergents,https://www.frenchcleantech.com/company/categories/air-environment/profile/cleanea-when-water-becomes-detergents.html,525044111,Air & Environment (29),OK,1,1,ACTIVE,2010-09-24,,0,0,personneMorale
imaGeau,Real time management of subsurface resources,https://www.frenchcleantech.com/company/categories/air-environment/profile/imageau-real-time-management-of-subsurface-resources.html,504316597,Air & Environment (29),OK,1,1,ACTIVE,2008-05-22,,4,1,personneMorale
Quiet Oceans,Technology for sustainable oceans,https://www.frenchcleantech.com/company/categories/air-environment/profile/quiet-oceans-technology-for-sustainable-oceans.html,524673803,Air & Environment (29),OK,1,1,ACTIVE,2010-09-13,,1,1,personneMorale
Ethera,Indoor pollution diagnosis,https://www.frenchcleantech.com/company/categories/air-environment/profile/ethera-breathe-safely.html,510692817,Air & Environment (29),OK,1,1,ACTIVE,2009-02-24,,0,0,personneMorale
Environnement S.A,Instrumentation for environnement,https://www.frenchcleantech.com/company/categories/air-environment/profile/environnement-sa-instrumentation-for-environnement.html,314818014,Air & Environment (29),OK,1,1,ACTIVE,1979-03-12,,0,0,personneMorale
Sillages environnement,Environmental risks simulation,https://www.frenchcleantech.com/company/categories/air-environment/profile/sillages-environnement-environmental-risks-simulation.html,514447861,Air & Environment (29),OK,1,1,ACTIVE,2009-09-01,,0,0,personneMorale
Ivea,LIBS analysers for pollution control,https://www.frenchcleantech.com/company/categories/air-environment/profile/ivea-libs-for-pollution-control.html,485357339,Air & Environment (29),OK,1,1,ACTIVE,2005-12-07,,1,1,personneMorale
Eole Water,From Wind to water,https://www.frenchcleantech.com/company/categories/air-environment/profile/eole-water-from-wind-to-water.html,504764184,Air & Environment (29),OK,1,0,CESSATION,2008-06-17,2021-12-16,2,1,personneMorale
Cairpol,City air pollution monitoring,https://www.frenchcleantech.com/company/categories/air-environment/profile/cairpol-city-air-pollution-monitoring.html,492976253,Air & Environment (29),OK,1,0,CESSATION,2006-12-01,2016-11-18,0,0,personneMorale
Hydrelis,Water leak detection technology,https://www.frenchcleantech.com/company/categories/air-environment/profile/hydrelis-water-leak-detection-technology.html,452231053,Air & Environment (29),OK,1,1,ACTIVE,2004-02-24,,15,1,personneMorale
Brochier technologies,Photocatalytic pollution control solution,https://www.frenchcleantech.com/company/categories/air-environment/profile/brochier-technologies-photocatalytic-pollution-control-solution.html,495245730,Air & Environment (29),OK,1,1,ACTIVE,2007-04-06,,14,1,personneMorale
SP3H,A purer air,https://www.frenchcleantech.com/company/categories/air-environment/profile/sp3h-smart-on-board-fuel-sensor.html,483597241,Air & Environment (29),OK,1,1,ACTIVE,2005-08-24,,16,1,personneMorale
Leosphere,Optimise windmill efficiency,https://www.frenchcleantech.com/company/categories/air-environment/profile/leosphere-wind-lidar-for-wind-energy.html,452972649,Air & Environment (29),OK,1,1,ACTIVE,2004-04-08,,10,1,personneMorale
CNIM Group,Flue Gas Cleaning,https://www.frenchcleantech.com/company/categories/air-environment/profile/cnim-flue-gas-cleaning.html,662043595,Air & Environment (29),OK,1,1,ACTIVE,2021-05-31,,60,1,personneMorale
Climpact,Climate information technology,https://www.frenchcleantech.com/company/categories/air-environment/profile/climpact-climate-information-technology.html,445254329,Air & Environment (29),OK,1,0,CESSATION,2003-02-01,2012-12-27,0,0,personneMorale
Neosens,Pure Sensor Solutions,https://www.frenchcleantech.com/company/categories/air-environment/profile/neosens-pure-sensor-solutions.html,852589316,Air & Environment (29),OK,1,1,ACTIVE,2019-07-23,,0,0,personneMorale
Ederna,Membrane contactors technology,https://www.frenchcleantech.com/company/categories/air-environment/profile/ederna-membrane-contactors-technology.html,500005061,Air & Environment (29),OK,1,0,CESSATION,2007-09-14,2024-03-14,5,1,personneMorale
Eco-solution,Microalgae based fuels,https://www.frenchcleantech.com/company/categories/air-environment/profile/eco-solution-microalgae-based-fuels.html,899963896,Air & Environment (29),OK,1,1,ACTIVE,2021-06-01,,0,0,personneMorale
Estuaire,Mitigating the environmental impact of aviation,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/estuaire-mitigating-the-environmental-impact-of-aviation.html,890596380,Energy efficiency (83),OK,1,1,ACTIVE,2020-11-02,,0,0,personneMorale
Qualisteo,Smart metering system,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/qualisteo-smart-metering-system.html,529150963,Energy efficiency (83),OK,1,1,ACTIVE,2013-03-21,,0,0,personneMorale
Alpinov X,High environmental value cold,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/alpinov-x-high-environmental-value-cold.html,828812735,Energy efficiency (83),OK,1,1,ACTIVE,2017-04-05,,6,1,personneMorale
BeFC,Bioenzymatic Fuel Cells,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/befc-bioenzymatic-fuel-cells.html,883544009,Energy efficiency (83),OK,1,1,ACTIVE,2020-05-20,,0,0,personneMorale
Newheat,Renewable thermal energy,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/newheat-renewable-thermal-energy.html,815176128,Energy efficiency (83),OK,1,1,ACTIVE,2015-12-10,,1,1,personneMorale
Enertime,leader of industrial thermodynamic machines,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enertime.html,502718760,Energy efficiency (83),OK,1,1,ACTIVE,2008-02-28,,7,1,personneMorale
Effigenie,Managing energy consumption in buildings,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/effigenie-managing-energy-consumption-in-buildings.html,,Energy efficiency (83),NOT_FOUND,0,,,,,,,
NG2,Less CO2 with PLUG shore power solution,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ng2-plug-shore-power-solution.html,944092105,Energy efficiency (83),OK,1,1,ACTIVE,2025-05-09,,0,0,personneMorale
Soft4Energy,"Smart Power,Green Grid & Energy Storage",https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/soft4energy-.html,520026048,Energy efficiency (83),OK,1,1,ACTIVE,2010-02-09,,0,0,personneMorale
Grid Pocket,Personal smart grid solutions,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/grid-pocket-personal-smart-grid-solutions.html,,Energy efficiency (83),NOT_FOUND,0,,,,,,,
Ecomatic,Heating Baseboards,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ecomatic.html,387616725,Energy efficiency (83),OK,1,0,CESSATION,1992-06-01,1992-12-31,0,0,personneMorale
Neelogy,Innovative sensor technology,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/neelogy-breakthrough-technology-for-dc-current-sensor.html,490819661,Energy efficiency (83),OK,1,0,CESSATION,2008-06-12,2019-09-24,14,1,personneMorale
Exoes,Sustainable heat & Power Engine,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/exoes-sustainable-heat-power-engine.html,512584806,Energy efficiency (83),OK,1,1,ACTIVE,2009-05-20,,27,1,personneMorale
MRCC Industries,The internal combustion revisited,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/mrcc-industries-the-internal-combustion-revisited.html,450882451,Energy efficiency (83),OK,1,1,ACTIVE,2003-10-30,,5,1,personneMorale
CETH,Innovative hydrogen production systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ceth-innovating-hydrogen-production-systems.html,908840820,Energy efficiency (83),OK,1,,,,,0,0,
Cooltech,Magneto caloric cooling innovation,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/cooltech-magnetocaloric-cooling-innovation.html,981794696,Energy efficiency (83),OK,1,1,ACTIVE,2023-12-12,,0,0,personneMorale
Claranor,Ecological pulsed light sterilization,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/claranor-ecological-pulsed-light-sterilization.html,478695521,Energy efficiency (83),OK,1,1,ACTIVE,2010-12-30,,16,1,personneMorale
Entropy,Datacenter energy optimization,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/entropy-datacenter-energy-optimization.html,877529768,Energy efficiency (83),OK,1,1,ACTIVE,2019-09-25,,0,0,personneMorale
Sud Ecowatt,Innovative solar heating,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/sud-ecowall-innovative-solar-heating.html,492784111,Energy efficiency (83),OK,1,1,ACTIVE,2006-11-15,,0,0,personneMorale
Terra Nova Energy,Online energy intelligence,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/terra-nova-energy-online-energy-intelligence.html,481025328,Energy efficiency (83),OK,1,0,CESSATION,2005-02-17,2013-12-10,0,0,personneMorale
MPPC,Maximize solar power systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/mppc-technology-maximises-solar-power-systems.html,538961962,Energy efficiency (83),OK,1,1,ACTIVE,2012-01-04,,0,0,personneMorale
Ewam,Competitiveness and environmental performance,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ewam-competitiveness-environmental-performance.html,521118349,Energy efficiency (83),OK,1,1,ACTIVE,2010-03-25,,0,0,personneMorale
Voltalis,Smart grid technology,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/voltalis.html,493103592,Energy efficiency (83),OK,1,1,ACTIVE,2006-12-06,,18,1,personneMorale
EHW Research,Increase solar yield,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ehw-research-increase-solar-yield.html,507750230,Energy efficiency (83),OK,1,0,CESSATION,2008-09-03,2021-07-15,0,0,personneMorale
Enablon,Carbon management software,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enablon-greenhouse-gas-management-software.html,433246097,Energy efficiency (83),OK,1,1,ACTIVE,2006-10-05,,3,1,personneMorale
Vizelia,Smart building solution,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/vizelia-green-building-solution-webcast.html,331499954,Energy efficiency (83),OK,1,0,CESSATION,1985-01-01,2012-12-01,0,0,personneMorale
Green Ingenierie,Innovative insulating material,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/green-ingenierie-innovative-insulating-material.html,751828690,Energy efficiency (83),OK,1,1,ACTIVE,2012-06-01,,0,0,personneMorale
Tiempo,A breakthrough in green electronics,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/tiempo-a-breakthrough-in-green-electronics.html,499286011,Energy efficiency (83),OK,1,1,ACTIVE,2007-07-26,,9,1,personneMorale
MCE-5 Development,Fuel consumption reduction technology,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/mce-5-fuel-consumption-reduction-technology.html,428898969,Energy efficiency (83),OK,1,1,ACTIVE,2000-01-13,,45,1,personneMorale
Domelys,Recover heat on wastewater,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/domelys-recovers-heat-on-wastewater.html,510325806,Energy efficiency (83),OK,1,0,CESSATION,2008-11-21,2013-12-31,0,0,personneMorale
Novéa energies,Innovative lamp combining solar and wind,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/novea-energy-an-innovative-lamp-combining-solar-and-wind.html,495383812,Energy efficiency (83),OK,1,1,ACTIVE,2007-04-12,,6,1,personneMorale
Watteco,Smart energy hardware and software solutions,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/watteco-smart-energy-hardware-and-software-solutions.html,538107079,Energy efficiency (83),OK,1,1,ACTIVE,2011-11-29,,0,0,personneMorale
Fondis,1st fireplace cleaner CO2 zero,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/fondis-the-1st-fireplace-cleaner-co2-zero.html,448759951,Energy efficiency (83),OK,1,1,ACTIVE,2012-03-08,,2,1,personneMorale
Opaly,Active solar envelope,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/opaly-active-solar-envelope-in-buildings.html,259400588,Energy efficiency (83),OK,1,,,,,0,0,
Kilowattsol,Solar resource expert,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/kilowattsol-solar-resource-expert.html,501144976,Energy efficiency (83),OK,1,1,ACTIVE,2007-11-23,,1,1,personneMorale
Minix,Reduce aircraft vortex and pollution,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/minix-reduces-aircraft-vortex-and-pollution.html,830290458,Energy efficiency (83),OK,1,1,ACTIVE,2017-04-27,,0,0,personneMorale
COGEBIO,Increase yield of biomass cogeneration,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ecoren-increased-the-yield-of-biomass-cogeneration.html,510366834,Energy efficiency (83),OK,1,1,ACTIVE,2009-02-11,,4,1,personneMorale
Roctool,Innovative molding technologies,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/roctool-innovative-molding-technology.html,433278363,Energy efficiency (83),OK,1,1,ACTIVE,2000-10-17,,38,1,personneMorale
Waga Energy,Innovative wasted gas energy recovery,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/waga-energy.html,809233471,Energy efficiency (83),OK,1,1,ACTIVE,2015-01-28,,4,1,personneMorale
EnobraQ,Specialist in CO2 capture and exploitation using yeast,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enobraq-.html,814626461,Energy efficiency (83),OK,1,0,CESSATION,2015-12-22,2025-02-24,3,1,personneMorale
Coldinnov,Cold production by thermochemical reaction,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/coldinnov-cold-production-by-thermochemical-reaction.html,853898922,Energy efficiency (83),OK,1,1,ACTIVE,2019-09-16,,5,1,personneMorale
Enerbee,Energy harvesting technology,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enerbee-motion-based-energy-harvesters.html,800938920,Energy efficiency (83),OK,1,0,CESSATION,2014-03-11,2024-02-20,14,1,personneMorale
Led's Chat,Smart & Interactive LED lighting systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/leds-chat-smart-interactive-led-lighting-systems.html,,Energy efficiency (83),NOT_FOUND,0,,,,,,,
Stimergy,Digital boiler,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/stimenergy.html,793625351,Energy efficiency (83),OK,1,1,ACTIVE,2013-06-13,,1,1,personneMorale
Ledex,A revolution in LED,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ledex-a-revolution-in-led.html,794953166,Energy efficiency (83),OK,1,0,CESSATION,2013-08-27,2024-09-16,0,0,personneMorale
Echy,Clean indoor lighting,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/echy-clean-indoor-lighting.html,788957660,Energy efficiency (83),OK,1,1,ACTIVE,2012-10-24,,2,1,personneMorale
Armor Group,Beautiful light project,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/opv-technology.html,838238731,Energy efficiency (83),OK,1,1,ACTIVE,2018-03-16,,0,0,personneMorale
Kalray,Low-energy mullticore chips,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/kalray-low-energy-mullticore-chips.html,507620557,Energy efficiency (83),OK,1,1,ACTIVE,2008-11-14,,41,1,personneMorale
Enogia,Organic Rankine Cycle Turbine,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enogia-organic-rankine-cycle-turbine.html,514692045,Energy efficiency (83),OK,1,1,ACTIVE,2012-10-17,,10,1,personneMorale
Aledia,A breakthrough for the led industry,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/aledia-a-breakthrough-for-the-led-industry.html,537455982,Energy efficiency (83),OK,1,1,ACTIVE,2011-10-24,,134,1,personneMorale
Otonome,Ecological solutions & concepts,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/otonome-ecological-solutions-concepts.html,523814788,Energy efficiency (83),OK,1,1,ACTIVE,2010-07-02,,1,1,personneMorale
Sunna Design,LED & Solar lighting solutions,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/sunna-design-led-solar-lighting-solutions.html,538125402,Energy efficiency (83),OK,1,1,ACTIVE,2011-11-28,,14,1,personneMorale
Intent Technologies,Infrastructure for smart housing and smart buildings,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/intent-technologies-operator-of-digital-infrastructure-for-smart.html,532829561,Energy efficiency (83),OK,1,1,ACTIVE,2011-06-03,,1,1,personneMorale
Qarnot Computing,Smart Green Processing,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/qarnot-computing-smart-green-processing.html,528593817,Energy efficiency (83),OK,1,1,ACTIVE,2013-06-07,,4,1,personneMorale
Aqylon,Power generation & Solar thermal heat,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/aqylyon-.html,511823312,Energy efficiency (83),OK,1,0,CESSATION,2011-09-07,2023-12-28,9,1,personneMorale
Smart Impulse,Smarter metering,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/smart-impulse-smarter-metering.html,531028819,Energy efficiency (83),OK,1,1,ACTIVE,2011-03-16,,7,1,personneMorale
Espaciel,Light Deflector,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/espaciel-light-deflector.html,790898092,Energy efficiency (83),OK,1,1,ACTIVE,2013-02-01,,6,1,personneMorale
Teeo,Remote control system for water and electricity consumption,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/teeo-remote-control-system-for-water-and-electricity-consumption.html,519653927,Energy efficiency (83),OK,1,1,ACTIVE,2014-01-28,,0,0,personneMorale
MACC3,Innovative wall insulation,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/macc3-innovative-insulation-wall.html,509559381,Energy efficiency (83),OK,1,1,ACTIVE,2009-01-05,,2,1,personneMorale
Freemens,Preserve battery life,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/freemens-preserve-battey-life.html,993067321,Energy efficiency (83),OK,1,,,,,0,0,
AMS R&D,Active Membrane Systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ams-rd-active-membrane-systems.html,100736404,Energy efficiency (83),OK,1,1,ACTIVE,2026-02-16,,0,0,personneMorale
Smartgrains,A smart wireless parking guidance solution,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/smartgrains-a-smart-wireless-parking-guidance-solution.html,511629222,Energy efficiency (83),OK,1,1,ACTIVE,2009-04-08,,1,1,personneMorale
TMC Innovation,Innovative LED lighting,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/tmc-innovation.html,492882436,Energy efficiency (83),OK,1,1,ACTIVE,2006-11-20,,4,1,personneMorale
Vesta System,Energy efficiency software,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/vesta-system-energy-efficiency-software.html,530649326,Energy efficiency (83),OK,1,1,ACTIVE,2011-03-02,,0,0,personneMorale
INAWA,Innovative CVT with high potential,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/inawa-innovative-cvt-with-high-potential.html,841668049,Energy efficiency (83),OK,1,1,ACTIVE,2018-08-27,,0,0,personneMorale
Actility,M2M and smart grid applications,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/actility-m2m-and-smart-grid-applications.html,522305473,Energy efficiency (83),OK,1,1,ACTIVE,2010-05-12,,9,1,personneMorale
STIRAL,Converting energy,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/stiral-converting-energy.html,521142323,Energy efficiency (83),OK,1,0,CESSATION,2010-03-19,2024-10-08,6,1,personneMorale
IDEOL,Moving the wind energy offshore,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ideol-moving-the-wind-energy-offshore.html,524724820,Energy efficiency (83),OK,1,1,ACTIVE,2010-09-15,,8,1,personneMorale
Splitted Desktop Systems,Low power computing,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/splitted-desktop-systems-low-power-computing.html,,Energy efficiency (83),NOT_FOUND,0,,,,,,,
DDIS,Direct Drive Systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ddis-60-direct-drive-systems.html,504124983,Energy efficiency (83),OK,1,1,ACTIVE,2008-05-07,,5,1,personneMorale
Docea Power,ESL solutions for low power design,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/docea-power-esl-solutions-for-low-power-design.html,492108626,Energy efficiency (83),OK,1,0,CESSATION,2006-10-03,2017-03-31,0,0,personneMorale
Avob,The next step in Power Management,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/avob-the-next-step-in-power-management.html,512644105,Energy efficiency (83),OK,1,1,ACTIVE,2009-05-27,,0,0,personneMorale
Ennesys,Environemental Energy Systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ennnesys-environemental-energy-systems.html,525147419,Energy efficiency (83),OK,1,0,CESSATION,2013-02-14,2021-09-14,1,1,personneMorale
Wysips,The world’s first transparent photovoltaic film,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/wysips-the-worlds-first-transparent-photovoltaic-film.html,,Energy efficiency (83),NOT_FOUND,0,,,,,,,
Spark Cleantech,Decarbonized Hydrogen,https://www.frenchcleantech.com/company/categories/energy-generation/profile/spark-cleantech-decarbonized-hydrogen.html,909736068,Energy generation (95),OK,1,1,ACTIVE,2022-01-28,,0,0,personneMorale
Sakowin,Green H2 production,https://www.frenchcleantech.com/company/categories/energy-generation/profile/sakowin-green-h2-production.html,824658769,Energy generation (95),OK,1,1,ACTIVE,2017-01-02,,3,1,personneMorale
Sweetch Energy,Breakthrough osmotic technology,https://www.frenchcleantech.com/company/categories/energy-generation/profile/sweetch-breakthrough-osmotic-technology.html,810876177,Energy generation (95),OK,1,1,ACTIVE,2017-05-24,,6,1,personneMorale
SymbioFCell,Fuel cell systems solutions,https://www.frenchcleantech.com/company/categories/energy-generation/profile/symbiofcell-fuel-cell-systems-solutions.html,,Energy generation (95),NOT_FOUND,0,,,,,,,
Heliotrop,High concentration PV modules,https://www.frenchcleantech.com/company/categories/energy-generation/profile/heliotrop-high-concentration-pv-modules.html,513159392,Energy generation (95),OK,1,1,ACTIVE,2009-06-17,,6,1,personneMorale
Aeolta,Vertical wind turbine,https://www.frenchcleantech.com/company/categories/energy-generation/profile/aeolta.html,505369306,Energy generation (95),OK,1,0,CESSATION,2008-08-26,2014-03-20,2,1,personneMorale
Bulane,Zero carbon Gas solution,https://www.frenchcleantech.com/company/categories/energy-generation/profile/bulane-innovative-electrolysers.html,509460325,Energy generation (95),OK,1,1,ACTIVE,2008-12-18,,5,1,personneMorale
S'tile,Silicon wafers innovation for solar energy,https://www.frenchcleantech.com/company/categories/energy-generation/profile/stile-development-of-semiconductors-materials-for-solar-energy.html,411380231,Energy generation (95),OK,1,1,ACTIVE,2000-02-01,,0,0,personneMorale
Emix,Silicon wafers for solar industries,https://www.frenchcleantech.com/company/categories/energy-generation/profile/emix-silicon-wafers-for-solar-industries.html,520877424,Energy generation (95),OK,1,1,ACTIVE,2010-03-10,,0,0,personneMorale
I-D Tech Environnement,Make electricity with wilk.,https://www.frenchcleantech.com/company/categories/energy-generation/profile/i-d-tech-environnement-make-electricity-with-wilk.html,504588104,Energy generation (95),OK,1,0,CESSATION,2008-06-12,2022-04-08,0,0,personneMorale
Hybrid Energies,Producing spirulina from biogas emissions,https://www.frenchcleantech.com/company/categories/energy-generation/profile/hybrid-energies-producing-spirulina-from-biogas-emissions.html,509313938,Energy generation (95),OK,1,,,,,0,0,
